Band start [cm-1],Band end [cm-1],Type,Information,Description,Reference
348,348,min,Si-O bend,Si-O bend,"Margenot et al., 2016"
400,1200,min,Phyllosilicates,Phyllosilicate Si-O stretching,"Margenot et al., 2016"
420,470,min,Clay minerals,"Kaolinite, Illite, Smectite","Tinti et al., 2015"
470,470,min,Si-O-Si,Si-O-Si bending,"Tinti et al., 2015"
490,490,min,"Iron oxides, clay","Fe-O bending, potentially iron oxide-rich residual clays","Grinand et al., 2012"
520,520,min,Si-O-Al,Octahedral Al Si-O-Al bending,"Tinti et al., 2015"
540,540,min,"Clay, quartz minerals",Ah-horizon clay and quartz minerals specifically,"Haberhauer et al., 1998"
600,700,min,Fe oxides,Fe oxides,"Soriano-Disla et al., 2014"
600,950,min,Phyllosilicates,Phyllosilicate Hydroxyl O-H bending,"Margenot et al., 2016"
600,700,min,Phyllosilicates,Triocotahedral 1:1 layer silicates OH bending,"Margenot et al., 2016"
650,650,min,Bentonite,Bentonite,"Tinti et al., 2015"
690,690,min,Clay and quartz minerals,Ah clay and quartz minerals,"Haberhauer et al., 1998"
700,975,org,"Humic acids, aromates","Soil, organics, humic acids, charcoal: Aromatic C-H out-of-plane bend increasing wavenumbers with increasing degree of substitution","Parikh et al., 2014"
700,700,min,Silica,Silica,"Tinti et al., 2015"
714,714,min,Carbonates,Carbonates,"Asgari et al., 2020"
720,720,min,Calcite,Calcite,"Tinti et al., 2015"
720,720,org,Alkanes,"Long chain alkanes, CH2 wag","Tinti et al., 2015"
752,820,min,"Carbonate, kaolinite","Carbonate, kaolinite","Tinti et al., 2015"
752,820,org,Phenyls,R2C=CHR phenyls with three H adjacent,"Tinti et al., 2015"
780,780,min,"Clay, quartz minerals","Ah horizon, clay and quartz minerals specifically","Haberhauer et al., 1998"
800,1200,min,"Allophane, Imogolite",Distinguishing between allophane and imogolite by Si-O stretching,"Margenot et al., 2016"
800,800,min,Fe oxyhydroxides,Fe oxyhydroxides,"Soriano-Disla et al., 2014"
800,1400,min,Overlapping organic and mineral bands,Unambiguous overlapping of organic and mineral absorbances,"Margenot et al., 2016"
800,1400,org,Overlapping organic and mineral bands,Unambiguous overlapping of organic and mineral absorbances,"Margenot et al., 2016"
800,950,min,Phyllosilicates,OH bending dioctahedral 1:1 layer silicate,"Margenot et al., 2016"
812,812,min,Kaolin minerals,Kaolin minerals,"Jović et al., 2019"
814,818,org,Aromates,"Protein, Black carbon aromatic CH bending","Cécillon et al., 2012"
835,835,org,Lignin,Lignin (aromatic CH out of plane),"Tinti et al., 2015"
840,840,min,Montmorillonite,MgAlOH in montmorillonite,"Margenot et al., 2016"
866,887,min,Carbonate,"Carbonate, inorganic materials (clay, quartz minerals)","Tinti et al., 2015"
870,870,min,Carbonates,Carbonates,"Asgari et al., 2020"
870,870,rg,Aromates,Aromatic C-H and C=C,"Tinti et al., 2015"
887,945,org,"Aromates, carbohydrates, cellulose","Benzoic acid, pyranose ring of carbohydrates, cellulose (ring breathing) RHC=CH2, R2C=CH2","Tinti et al., 2015"
900,900,min,Fe oxyhydroxides,Fe oxyhydroxides,"Soriano-Disla et al., 2014"
915,915,min,Clay minerals,"Al-OH in Kaolin, smectite clay minerals","Viscarra Rossel and Behrens, 2010"
915,950,min,Silicate,2:1 layer phyllosilicate OH bending,"Margenot et al., 2016"
920,920,min,Al-OH,Al-OH deformation of kaolinite,"Tinti et al., 2015"
945,1056,min,Alumino-silicates,"Si-OH of alumino silicate lattice (kaolinite, illite, smectite)","Tinti et al., 2015"
945,1056,org,"Aromates, alkyls, sulfones","C-O stretching, RHC=CH2, sulfones, P-O aryl and alkyl, aromatic CH out of plane bending","Tinti et al., 2015"
950,1120,min,Phyllosilicates,1:1 layer silicate triumvirate of Si-O,"Margenot et al., 2016"
950,1020,min,Si-O,Stretching Si-O,"Calderón et al., 2013"
950,1100,min,Si-O,Si-O stretching,"Margenot et al., 2016"
980,980,min,Al-silicate,Alumosilicate lattice vibration,"Jović et al., 2019"
1000,1100,min,Quartz,Quartz (sand),"Soriano-Disla et al., 2014"
1010,1030,min,Phyllosilicates,2:1 layer silicates,"Margenot et al., 2016"
1010,1010,min,Phyllosilicates,Dioctahedral Si-O stretch bands of phyllosilicates,"Margenot et al., 2016"
1018,1035,org,"Alcohol, ether",Primary alcohol C-O stretching; Ether group C-O-C,"Cécillon et al., 2012"
1018,1035,min,Silica,Silica Si-O-Si,"Cécillon et al., 2012"
1020,1035,org,"Black carbon, Alcohols, Ethers, Silica",Black Carbon: Primary Alcohol C-O stretching; Ether group C-O-C; Silica Si-O-Si,"Cécillon et al., 2012"
1020,1030,min,Phyllosilicates,Trioctahedral Si-O stretch bands of phyllosilicates,"Margenot et al., 2016"
1020,1035,min,Silica,Silica Si-O-Si,"Cécillon et al., 2012"
1022,1030,org,"Lipids, alcohols, ethers, Si-O-Si",Lipids: Primary Alcohol C-O stretching; Ether group C-O-C; Si-O-Si,"Cécillon et al., 2012"
1030,1080,org,Carbohydrates,Carbohydrate region of polysaccharides,"Tinti et al., 2015"
1050,1050,org,Carbohydrates,C-O bending in carbohydrates,"Calderón et al., 2013"
1050,1050,min,Clay minerals,Si-O in clay minerals,"Haberhauer et al., 1998"
1060,1170,org,"Carbohydrates, proteins","Stretching C-O in carbohydrates, nucleic acids, and proteins","Calderón et al., 2013"
1070,1136,min,"Silica, sulfates","O-Si-O of silica, sulfates","Tinti et al., 2015"
1070,1136,org,"Alcohols, Alkyl ethers","C-O of various alcohols, C-O of alkyl ethers, C-OH","Tinti et al., 2015"
1080,1080,min,"Carbonates, Clays","Symmetrical stretching in carbonate and 1:1 clays, e.g., Kaolinite","Grinand et al., 2012"
1144,1185,org,"Aliphates, carbohydrates","Aliphatic alcohols C-OH, carbohydrates","Tinti et al., 2015"
1159,1159,min,Al-silicate,Alumosilicate lattice vibration,"Jović et al., 2019"
1198,1256,org,"Carboxylic acid, phenols","C-O stretching and OH deformation of COOH, C-O of aryl ethers and phenoles, and acetates","Tinti et al., 2015"
1200,1280,org,"C-O, COOH",C-O stretching and OH deformation of COOH,"Asgari et al., 2020"
1220,1320,org,Amide III band,Amide III band,"Calderón et al., 2013"
1230,1230,org,"Humic acids, aromatic amines",C-O stretch and O-H bending in humic acids and aromatic amines,"Grinand et al., 2012"
1238,1238,min,Silicate,Silicate,"Tinti et al., 2015"
1256,1259,min,Bentonite,Bentonite,"Tinti et al., 2015"
1256,1293,org,"Phenoles, ethers, amide III","Benzoic acids, C-O of aryl ethers, R-O-NO2, P=O, C-O of phenoles, C-O-C ether bon, amide III","Tinti et al., 2015"
1270,1270,org,"Amide II, CH, NH, CO","CH and NH (amide II) bending, CO vibration","Haberhauer et al., 1998"
1300,1300,org,C-H overtone,Soil C-H overtone,"Parikh et al., 2014"
1307,1342,org,Sulfonamides,"Sulfonamides, C-N (aromatic amines)","Tinti et al., 2015"
1330,1330,org,"Amides, Phenyls, Polysaccharides","stretching C-N in amides, bending CH in phenyls and polysaccharides","Calderón et al., 2013"
1340,1340,min,Quarz,"Quartz, negative correlation to carbonate","Grinand et al., 2012"
1354,1403,org,Phenoles,"C-O of phenolic OH, COO- and O-H, CH3 bend, COCH3","Tinti et al., 2015"
1370,1370,org,"Amide II, CH, NH, CO","CH, NH (amide II) bending CO vibration","Haberhauer et al., 1998"
1380,1400,org,Humic acids,"Humic acids of soil, Carboxylate C-O symmetric stretch","Parikh et al., 2014"
1400,1400,org,Carboxylate anion,Carboxylate anion -COO-,"Soriano-Disla et al., 2014"
1400,1450,org,"Polysaccharides, proteins","Bending CH2 in polysaccharides and proteins, also N-H bending and C-N stretching","Calderón et al., 2013"
1408,1479,min,Carbonates,carbonates,"Tinti et al., 2015"
1408,1444,org,"Phenols, benzoic acid","Benzoic acid, C-H deformation and C-O stretching of phenolic groups","Tinti et al., 2015"
1430,1430,min,Carbonates,Carbonates,"Soriano-Disla et al., 2014"
1444,1479,org,"Aliphates, amide II","CH and NH of amide II, aliphatic CH deformation","Tinti et al., 2015"
1450,1450,org,"Amide II, CH, NH, CO","CH, NH (amide II) bending CO vibration","Haberhauer et al., 1998"
1450,1450,org,"Lignine, aromates, aliphates","Aromatic C=C lignine bonds, aliphatic deformation","Jović et al., 2019"
1480,1485,org,Aliphatic CH3,"Carbohydrates, Protein, Black Carbon: Methoxy group (CH3-Umbrella mode); Aliphatic CH3 bending","Cécillon et al., 2012"
1480,1560,org,"Amide II, CN, CNH, CH","Amide II band stretching C-N and bending C-N-H, bending CH in phenyl groups","Calderón et al., 2013"
1488,1544,org,"Aromatic C=C, amide II","Aromatic C=C stretching, aromatic skeletal vibrations, aromatic skeletal (lignin), amide II","Tinti et al., 2015"
1510,1510,org,"Amide II CH, NH, CO","CH, NH (amide II) bending CO vibration","Haberhauer et al., 1998"
1510,1510,org,"Lignine, aromates, aliphates","Aromatic C=C lignine bonds, aliphatic deformation","Jović et al., 2019"
1510,1510,org,TC and C/N,"Proxy for TC, C/N ratio","Haberhauer et al., 1998"
1517,1590,org,"COO, NH, C=N","COO symmetric stretching, N-H deformation, C=N stretching","Asgari et al., 2020"
1530,1530,org,"C=N, C=C",Stretching C=N or stretching C=C,"Calderón et al., 2013"
1530,1530,org,Protein amide,Organic carbon Protein amide -NH,"Soriano-Disla et al., 2014"
1550,1700,min,"Allophane, Imogolite",Distinction between allophane and imogolite by O-H deformation,"Margenot et al., 2016"
1569,1642,water,Water,OH bending of water,"Tinti et al., 2015"
1569,1642,org,Amide II,"Amide II of primary amides, aromatic C=C, C=O (quinones), carboxylates and amides , R-O_NO2","Tinti et al., 2015"
1570,1600,org,Aromatic groups,Aromatic groups,"Soriano-Disla et al., 2014"
1570,1590,org,"Phenyl, carboxylate","Ring stretching C=C of phenyl, carboxylate stretching C=O","Calderón et al., 2013"
1580,1660,Org,"Aromates, amides","Aromatic C=C stretching, amide C=O stretching","Margenot et al., 2016"
1600,1600,org,Carboxylate,Carboxylate anion -COO-,"Soriano-Disla et al., 2014"
1623,1623,water,Water associated,Water associated,"Jović et al., 2019"
1625,1670,org,"Amide I, phenyl, carboxyl","amide I or phenyl ring stretching C=C, stretching of C=O of amide groups and nucleic acids, carboxyl","Calderón et al., 2013"
1625,1630,min,Mineral-bound water,Mineral-bound water,"Calderón et al., 2013"
1630,1630,org,"Carboxylates, aromates",C=O carboxylates and aromates,"Haberhauer et al., 1998"
1630,1630,org,Carboxylic acid,Water-associated carboxylic acid,"Soriano-Disla et al., 2014"
